Height,Weight
164.6102599,71.67251254
174.0328738,84.53256796
175.952944,91.76117409
162.3429343,76.13202815
165.616526,56.78917533
160.4439291,62.60926597
175.4669001,80.22579577
164.4287599,60.14373802
157.549488,59.58328686
149.8644246,46.4835404
179.9766534,89.68759417
162.7208257,52.83055773
152.8267791,51.27700173
168.8421327,80.10465281
164.7067103,70.05331478
163.8307451,59.99935544
176.6690952,87.17213858
157.062557,64.21945085
180.5530043,94.15923616
184.2943353,97.65027564
160.9158518,64.3677101
166.1392331,65.05331655
160.5453493,63.71065052
178.1267782,68.60778298
171.7463492,77.6151896
171.2190027,74.20056139
160.6531025,59.71442191
173.2965019,87.29461201
169.3973753,68.8611761
170.577606,73.75172539
183.8722693,90.52526601
176.5451383,87.47170776
157.041793,55.68579651
169.7587794,68.91605139
169.3973753,68.8611761
162.2541734,65.27598214
154.6307315,58.07399799
153.0786629,60.30427955
151.2541923,53.9141357
164.0098874,62.37501355
179.9823444,83.68473079
166.0818795,66.26447617
181.0865857,92.0541997
167.5770262,77.59914541
166.924174,70.38644222
177.4866489,81.50189902
167.4734544,73.73129478
173.0030033,70.20969542
146.8006564,51.0101669
154.5842725,48.71079923
149.8505685,48.91495439
164.4391313,76.95378448
169.323073,68.59433361
186.507044,101.2375985
152.8127763,42.74306615
168.1019718,70.983074
166.9049237,77.51924307
176.6621852,84.77746298
160.3096979,65.8928176
173.9781716,81.61479195
179.2562493,96.64232281
159.5664924,62.77850265
157.9847166,55.58725751
185.0836721,98.58161263
176.0116674,78.17505422
161.3019249,56.02062075
183.5524606,85.4737235
159.2582975,58.08346958
174.4184274,76.44880164
173.0199685,81.67638652
180.4177671,98.65223896
163.9156935,69.66428258
161.8803922,73.58221842
162.0279427,55.39324354
183.81343,99.06210366
154.9829607,55.58825809
170.7685287,84.49282669
175.2233718,69.38019545
174.9417548,87.0143068
172.204566,77.67361861
158.0677495,64.48072332
157.9351689,61.66910566
167.4547631,72.24886678
176.1159232,81.75526946
191.8645417,96.16554802
160.4770673,56.65641968
152.4352139,60.47635036
164.2877876,79.86592411
184.0178786,96.72363265
175.9297438,89.07455628
148.5162984,46.74085795
182.3255537,89.14094868
175.2489726,87.32250259
146.8905345,37.66032414
154.3610181,46.84454499
152.5035795,57.00823477
144.9645469,42.5225348
162.7664252,71.481232
181.5492973,88.6286005
157.8610153,62.2185743
